date,sales
6/12/2017,72
6/12/2017,384
6/12/2017,228
6/12/2017,96
6/13/2017,60
6/13/2017,160
6/13/2017,192
6/13/2017,144
6/13/2017,1464
6/13/2017,780
6/13/2017,408
6/13/2017,36
6/13/2017,312
6/13/2017,48
6/13/2017,144
6/13/2017,936
6/13/2017,240
6/14/2017,1380
6/14/2017,32
6/14/2017,960
6/14/2017,336
6/14/2017,132
6/14/2017,576
6/14/2017,288
6/14/2017,984
6/14/2017,288
6/14/2017,2616
6/14/2017,384
6/14/2017,156
6/14/2017,144
6/14/2017,72
6/14/2017,24
6/14/2017,120
6/14/2017,48
6/14/2017,168
6/14/2017,1056
6/14/2017,84
6/14/2017,24
6/14/2017,12
6/14/2017,24
6/14/2017,36
6/14/2017,144
6/14/2017,72
6/14/2017,288
6/15/2017,56
6/15/2017,60
6/15/2017,384
6/15/2017,1728
6/15/2017,1200
6/15/2017,720
6/15/2017,120
6/15/2017,48
6/15/2017,12
6/15/2017,24
6/15/2017,72
6/15/2017,48
6/15/2017,48
6/15/2017,24
6/15/2017,24
6/15/2017,240
6/15/2017,456
6/15/2017,84
6/15/2017,24
6/15/2017,24
6/15/2017,24
6/15/2017,12
6/15/2017,120
6/15/2017,72
6/15/2017,864
6/16/2017,60
6/16/2017,16
6/16/2017,16
6/16/2017,6
6/16/2017,312
6/16/2017,2016
6/16/2017,96
6/16/2017,456
6/16/2017,48
6/16/2017,72
6/16/2017,24
6/16/2017,24
6/16/2017,648
6/16/2017,288
6/19/2017,16
6/19/2017,120
6/19/2017,48
6/19/2017,72
6/19/2017,1536
6/19/2017,468
6/19/2017,504
6/19/2017,228
6/19/2017,192
6/19/2017,48
6/19/2017,72
6/19/2017,144
6/19/2017,384
6/19/2017,48
6/19/2017,72
6/19/2017,12
6/19/2017,1848
6/19/2017,552
6/19/2017,288
6/20/2017,60
6/20/2017,160
6/20/2017,1872
6/20/2017,420
6/20/2017,384
6/20/2017,168
6/20/2017,72
6/20/2017,72
6/20/2017,12
6/20/2017,12
6/20/2017,48
6/20/2017,24
6/20/2017,72
6/20/2017,48
6/20/2017,12
6/20/2017,48
6/20/2017,36
6/20/2017,192
6/21/2017,1980
6/21/2017,524
6/21/2017,1620
6/21/2017,16
6/21/2017,288
6/21/2017,12
6/21/2017,360
6/21/2017,1740
6/21/2017,1272
6/21/2017,780
6/21/2017,456
6/21/2017,3480
6/21/2017,144
6/21/2017,144
6/21/2017,72
6/21/2017,96
6/21/2017,24
6/21/2017,120
6/21/2017,48
6/21/2017,48
6/21/2017,24
6/21/2017,120
6/21/2017,1440
6/21/2017,12
6/21/2017,24
6/21/2017,24
6/21/2017,24
6/21/2017,264
6/21/2017,84
6/21/2017,816
6/22/2017,1140
6/22/2017,720
6/22/2017,240
6/22/2017,144
6/22/2017,240
6/22/2017,408
6/22/2017,48
6/22/2017,48
6/22/2017,240
6/22/2017,12
6/22/2017,240
6/22/2017,252
6/22/2017,24
6/23/2017,288
6/23/2017,72
6/23/2017,336
6/23/2017,588
6/23/2017,144
6/23/2017,72
6/23/2017,48
6/23/2017,456
6/23/2017,36
6/23/2017,24
6/26/2017,840
6/26/2017,60
6/26/2017,24
6/26/2017,648
6/26/2017,84
6/26/2017,36
6/26/2017,180
6/26/2017,132
6/26/2017,48
6/26/2017,24
6/26/2017,504
6/26/2017,48
6/26/2017,48
6/26/2017,120
6/26/2017,48
6/26/2017,96
6/26/2017,96
6/26/2017,252
6/26/2017,24
6/27/2017,300
6/27/2017,360
6/27/2017,64
6/27/2017,144
6/27/2017,1728
6/27/2017,1116
6/27/2017,1212
6/27/2017,180
6/27/2017,24
6/27/2017,444
6/27/2017,48
6/27/2017,96
6/27/2017,72
6/27/2017,12
6/27/2017,72
6/27/2017,36
6/27/2017,1008
6/28/2017,900
6/28/2017,384
6/28/2017,720
6/28/2017,32
6/28/2017,432
6/28/2017,72
6/28/2017,960
6/28/2017,1272
6/28/2017,744
6/28/2017,852
6/28/2017,408
6/28/2017,4968
6/28/2017,132
6/28/2017,264
6/28/2017,96
6/28/2017,72
6/28/2017,12
6/28/2017,24
6/28/2017,72
6/28/2017,96
6/28/2017,72
6/28/2017,504
6/28/2017,168
6/28/2017,373
6/28/2017,266
6/28/2017,360
6/28/2017,36
6/28/2017,12
6/28/2017,48
6/28/2017,96
6/28/2017,24
6/28/2017,720
6/28/2017,36
6/28/2017,360
6/29/2017,48
6/29/2017,180
6/29/2017,72
6/29/2017,12
6/29/2017,4332
6/29/2017,1344
6/29/2017,1728
6/29/2017,2064
6/29/2017,324
6/29/2017,96
6/29/2017,36
6/29/2017,48
6/29/2017,24
6/29/2017,24
6/29/2017,144
6/29/2017,96
6/29/2017,288
6/29/2017,72
6/29/2017,48
6/29/2017,36
6/29/2017,192
6/29/2017,348
6/29/2017,312
6/30/2017,240
6/30/2017,384
6/30/2017,60
6/30/2017,48
6/30/2017,1536
6/30/2017,336
6/30/2017,888
6/30/2017,108
6/30/2017,72
6/30/2017,180
6/30/2017,12
6/30/2017,24
6/30/2017,24
6/30/2017,72
6/30/2017,21
6/30/2017,12
6/30/2017,48
6/30/2017,648
6/30/2017,504
6/30/2017,144
7/3/2017,900
7/3/2017,16
7/3/2017,720
7/3/2017,32
7/3/2017,240
7/3/2017,60
7/3/2017,12
7/3/2017,1644
7/3/2017,480
7/3/2017,516
7/3/2017,48
7/3/2017,48
7/3/2017,48
7/3/2017,120
7/3/2017,24
7/3/2017,48
7/3/2017,24
7/3/2017,24
7/3/2017,36
7/3/2017,432
7/5/2017,2100
7/5/2017,32
7/5/2017,2040
7/5/2017,432
7/5/2017,360
7/5/2017,2016
7/5/2017,624
7/5/2017,672
7/5/2017,192
7/5/2017,2064
7/5/2017,72
7/5/2017,96
7/5/2017,48
7/5/2017,12
7/5/2017,96
7/5/2017,120
7/5/2017,336
7/5/2017,144
7/5/2017,96
7/5/2017,168
7/5/2017,24
7/5/2017,36
7/5/2017,48
7/5/2017,72
7/5/2017,360
7/5/2017,12
7/5/2017,336
